Restaurant,Meal Choice,Price,Comment
McDonalds,Big Mac - Meal,$5.69,Beef
McDonalds,Quarter Pounder with Cheese - Meal,$5.49,Beef
McDonalds,Double Quarter Pounder with Cheese - Meal,$6.49,Beef
McDonalds,Double Cheeseburger - Meal,$4.38,Beef
McDonalds,Bacon & Cheese Quarter Pounder - Meal,$5.89,Beef
McDonalds,Deluxe Quarter Pounder - Meal,$5.79,Beef
McDonalds,Premium McWrap Chicken & Bacon (Grilled or Crispy) - Meal,$5.69,Chicken
McDonalds,Premium McWrap Sweet Chili Chicken (Grilled or Crispy) - Meal,$5.89,Chicken
McDonalds,Chicken Ranch BLT (Grilled or Crispy) - Meal,$5.99,Chicken
McDonalds,Club Chicken (Grilled or Crispy) - Meal,$6.19,Chicken
McDonalds,Classic Chicken (Grilled or Crispy) - Meal,$6.00,Chicken
McDonalds,Southern Style Chicken - Meal,$5.59,Chicken
McDonalds,Bacon Clubhouse Burger - Meal,$6.19,Beef
McDonalds,Premium Chicken Bacon Clubhouse (Grilled or Crispy) - Meal,$6.29,Chicken
McDonalds,McChicken - Meal,$3.79,Chicken
McDonalds,Chicken McNuggets  Meal (10 Pc.),$6.09,Chicken
McDonalds,Double Filet-O-Fish - Meal,$6.39,Fish
McDonalds,Filet-O-Fish - Meal,$5.49,Fish
Burger King,Whopper - Meal,$6.39,Beef
Burger King,Double Whopper - Meal,$7.49,Beef
Burger King,Ultimate Bacon Cheeseburger - Meal,$8.49,Beef
Burger King,Big King - Meal,$6.29,Beef
Burger King,Extra Long BBQ Cheeseburger - Meal,$5.99,Beef
Burger King,Tendercrisp Chicken Sandwich - Meal,$7.39,Chicken
Burger King,Spicy Original Chicken Sandwich - Meal,$6.49,Chicken
Burger King,Original Chicken Sandwich - Meal,$6.69,Chicken
Burger King,Chicken Nuggets (10 Pc.) - Meal,$5.89,Chicken
Burger King,Chicken Strips (Original or Buffalo) (3 Pc.) - Meal,$5.99,Chicken
Burger King,Big Fish Sandwich - Meal,$6.39,Fish
Burger King,Double Cheeseburgers - Meal,$5.49,Beef
Wendys,Dave's Hot 'n Juicy 1/4 lb. Single with Cheese - Combo,$6.19,Beef
Wendys,Dave's Hot 'n Juicy 1/2 lb.. Double with Cheese - Combo,$7.19,Beef
Wendys,Baconator - Combo,$8.09,Beef
Wendys,Son of Baconator - Combo,$6.69,Beef
Wendys,Pretzel Bacon Cheeseburger - Combo,$7.39,Beef
Wendys,Spicy Chicken - Combo,$6.59,Chicken
Wendys,Homestyle Chicken - Combo,$6.69,Chicken
Wendys,Asiago Ranch Chicken Club - Combo,$7.39,Chicken
Wendys,Ultimate Chicken Grill - Combo,$6.79,Chicken
Wendys,10 Pc. Chicken Nuggets - Combo,$5.99,Chicken